row_no,timestamp_iso,symbol,action,direction,qty,a_side,b_side,lat_a_age_ms,lat_b_age_ms,lat_leg_skew_ms,a_minus_b_ms,a_minus_recv_ms,b_minus_recv_ms,a_send_price,a_fill_price,b_send_price,b_fill_price,a_adverse_slippage_usdt,b_adverse_slippage_usdt,total_adverse_slippage_usdt,net_pnl
1,2026-06-10T20:51:34.694Z,SKYAIUSDT,open,+a-b,30,buy,sell,8.0,26.0,18.0,18.0,-8.0,-26.0,0.18178,0.18215,0.18318,0.18248,0.011100000000000276,0.021000000000000185,0.03210000000000046,0.004430549999999478
2,2026-06-10T20:52:50.306Z,SKYAIUSDT,add,+a-b,30,buy,sell,21.0,29.0,8.0,8.0,-21.0,-29.0,0.18486,0.18523,0.18625,0.18559,0.011100000000000276,0.019799999999999818,0.030900000000000094,0.005237700000000345
3,2026-06-10T20:53:40.566Z,SKYAIUSDT,add,+a-b,30,buy,sell,21.0,22.0,1.0,1.0,-21.0,-22.0,0.18317,0.18308,0.18445,0.18351,-0.0027000000000002022,0.028199999999999892,0.02549999999999969,0.007401150000000634
4,2026-06-10T21:08:46.947Z,SKYAIUSDT,close,-a+b,30,sell,buy,5.0,11.0,6.0,6.0,-5.0,-11.0,0.1801,0.18194,0.17963,0.18273,-0.055199999999999416,0.09299999999999975,0.03780000000000033,-0.02917005000000028
5,2026-06-10T21:08:49.305Z,SKYAIUSDT,add,+a-b,30,buy,sell,4.0,11.0,7.0,7.0,-4.0,-11.0,0.18227,0.18257,0.18342,0.18294,0.009000000000000674,0.014400000000000246,0.02340000000000092,0.005617349999999632
6,2026-06-10T21:08:50.955Z,BLESSUSDT,open,+a-b,900,buy,sell,5.0,7.0,2.0,2.0,-5.0,-7.0,0.005763,0.005775,0.005794,0.005769,0.010799999999999872,0.022499999999999864,0.03329999999999973,-0.010594799999999793
7,2026-06-10T21:11:43.385Z,SKYAIUSDT,add,+a-b,30,buy,sell,36.0,37.0,1.0,1.0,-36.0,-37.0,0.17895,0.17858,0.18023,0.17912,-0.011100000000000276,0.033299999999999996,0.02219999999999972,0.010834499999999636
8,2026-06-10T21:14:07.320Z,WLDUSDT,open,+a-b,12,buy,sell,24.0,38.0,14.0,14.0,-24.0,-38.0,0.4308,0.4293,0.4333,0.4292,-0.018000000000000016,0.04919999999999991,0.031199999999999894,-0.0063509999999995514
9,2026-06-10T21:26:42.864Z,BLESSUSDT,close,-a+b,900,sell,buy,15.0,21.0,6.0,6.0,-15.0,-21.0,0.00567,0.005673,0.005659,0.005667,-0.0027000000000003584,0.007200000000000175,0.004499999999999817,0.0006972000000002865
10,2026-06-10T22:00:02.536Z,BTWUSDT,open,-a+b,100,sell,buy,4.0,5.0,1.0,1.0,-4.0,-5.0,0.07361,0.07366,0.073202,0.073802,-0.005000000000000837,0.06000000000000033,0.054999999999999494,-0.021573100000000345
11,2026-06-10T22:27:09.533Z,BTWUSDT,close,+a-b,100,buy,sell,4.0,14.0,10.0,10.0,-4.0,-14.0,0.06885,0.06878,0.069129,0.068364,-0.007000000000000062,0.07650000000000018,0.06950000000000012,-0.04845720000000053
